"ethnicity","score","recidivated"
"black",8,1
"black",6,1
"black",1,0
"white",3,1
"white",6,0
"black",9,1
"black",7,1
"black",1,0
"white",8,1
"black",2,0
"white",1,0
"black",10,0
"black",7,1
"white",7,0
"white",7,0
"black",6,1
"black",7,1
"white",1,0
"white",1,0
"white",3,0
"black",4,0
"black",6,0
"black",2,0
"white",6,0
"black",4,1
"black",6,1
"white",1,0
"white",7,1
"black",3,0
"black",6,1
"black",8,1
"black",4,1
"black",2,0
"black",4,0
"black",9,0
"black",4,0
"white",1,0
"black",6,1
"black",7,0
"black",6,0
"black",2,0
"black",5,0
"black",5,0
"white",7,1
"white",1,0
"black",2,0
"black",6,1
"black",5,0
"white",2,0
"white",3,1
"black",9,0
"black",7,1
"black",9,1
"black",1,1
"black",2,1
"black",2,0
"black",9,0
"white",1,0
"white",1,0
"white",2,0
"black",4,1
"black",4,0
"white",8,1
"white",1,0
"white",1,0
"black",1,0
"black",1,0
"black",7,1
"white",2,1
"black",1,0
"black",6,1
"white",1,0
"black",7,0
"black",9,0
"white",9,1
"white",1,0
"black",7,1
"black",8,1
"black",1,0
"black",1,0
"white",2,0
"white",2,0
"white",9,0
"white",1,0
"black",4,0
"black",5,0
"black",8,1
"black",4,0
"black",1,0
"white",6,1
"white",6,0
"black",8,1
"black",10,1
"black",6,1
"white",2,1
"black",2,0
"black",8,0
"black",5,1
"black",9,1
"white",9,1
"white",2,1
"white",5,1
"black",1,0
"white",1,0
"black",9,1
"white",5,1
"white",1,0
"white",1,0
"white",2,1
"black",5,0
"white",3,0
"black",5,0
"black",10,1
"white",1,0
"white",3,0
"black",7,1
"white",4,0
"white",1,0
"white",3,0
"white",4,0
"white",4,1
"black",7,1
"black",6,0
"black",2,0
"black",7,1
"white",1,0
"black",1,1
"black",1,0
"white",2,1
"white",5,1
"white",4,1
"black",2,1
"black",5,1
"black",4,0
"black",8,1
"black",4,0
"black",3,0
"black",5,1
"black",9,1
"white",6,1
"black",2,0
"white",8,1
"black",6,0
"white",1,0
"white",3,0
"black",1,0
"black",3,1
"black",10,0
"white",2,0
"black",7,1
"black",8,1
"black",5,0
"black",3,1
"white",1,0
"black",3,0
"black",2,0
"black",6,1
"white",1,0
"white",1,0
"white",2,0
"white",1,0
"black",10,0
"black",5,0
"black",4,0
"black",10,1
"white",4,0
"white",2,0
"black",6,1
"black",5,1
"white",3,0
"white",3,1
"white",1,1
"black",2,0
"black",8,1
"white",3,1
"white",1,0
"black",8,1
"white",4,0
"black",9,1
"black",2,0
"black",8,1
"white",8,1
"black",5,1
"white",2,0
"black",3,0
"black",1,1
"black",6,0
"black",3,1
"black",4,1
"white",2,0
"black",9,1
"black",5,0
"black",6,0
"black",10,1
"white",6,0
"black",10,1
"white",3,0
"black",1,1
"black",2,1
"black",5,0
"white",9,1
"white",4,0
"white",1,0
"black",2,0
"white",1,0
"white",1,0
"black",8,1
"black",10,1
"white",7,0
"white",1,1
"black",3,0
"white",2,0
"black",7,1
"white",1,0
"white",3,0
"white",3,0
"black",7,1
"black",5,1
"black",1,0
"white",7,0
"white",5,1
"black",3,1
"black",4,1
"black",3,1
"black",7,1
"black",1,1
"black",1,0
"black",9,1
"black",5,1
"black",5,0
"white",2,0
"black",3,0
"white",2,0
"white",1,0
"black",10,1
"black",6,0
"white",6,0
"black",7,0
"white",9,1
"black",8,1
"white",7,0
"black",1,0
"black",1,0
"white",7,0
"white",1,0
"black",8,1
"black",4,0
"black",1,0
"white",4,0
"black",8,0
"black",3,0
"black",5,0
"white",8,1
"white",6,1
"black",7,0
"white",3,1
"black",6,0
"white",8,1
"white",6,1
"black",5,0
"black",3,0
"white",1,0
"black",5,1
"black",2,0
"white",1,0
"white",2,0
"white",4,1
"white",4,0
"white",4,1
"white",4,1
"white",1,0
"white",4,1
"black",1,0
"black",1,0
"white",2,0
"black",5,0
"black",6,0
"black",5,0
"white",3,0
"white",5,1
"black",9,0
"white",3,0
"black",10,1
"black",6,0
"black",3,0
"black",4,1
"black",4,0
"white",8,1
"black",10,1
"black",9,0
"black",1,1
"white",9,1
"white",6,1
"black",9,1
"black",8,0
"black",3,0
"black",2,1
"white",1,0
"white",6,1
"white",6,1
"white",1,0
"white",6,0
"white",1,0
"black",5,0
"black",2,1
"black",8,1
"black",4,1
"white",1,0
"black",6,1
"black",3,1
"black",5,0
"white",8,1
"black",8,1
"white",1,0
"black",6,0
"black",1,0
"black",9,0
"black",10,1
"black",5,1
"black",1,0
"black",9,1
"black",4,1
"black",10,1
"white",2,1
"white",5,1
"black",1,1
"black",10,1
"white",4,1
"white",4,0
"black",7,0
"white",4,0
"white",3,0
"white",9,1
"black",7,0
"white",3,0
"black",3,1
"black",10,1
"white",5,0
"white",1,0
"white",10,1
"white",1,0
"white",1,1
"black",10,1
"black",6,1
"white",4,0
"black",8,1
"black",8,0
"black",6,1
"black",3,0
"black",9,1
"white",4,0
"black",6,1
"white",4,0
"black",3,0
"white",4,1
"black",10,1
"white",5,1
"black",1,0
"black",9,1
"black",9,1
"white",4,1
"white",8,1
"white",8,1
"black",5,1
"black",1,0
"black",9,1
"black",2,1
"black",7,1
"white",1,1
"black",3,0
"black",6,0
"black",3,0
"white",1,0
"black",6,0
"white",5,0
"black",9,1
"black",7,1
"white",2,0
"black",5,0
"black",4,1
"black",8,0
"black",9,1
"black",4,0
"black",8,1
"white",3,0
"black",4,1
"black",4,0
"black",7,1
"white",1,0
"black",1,0
"white",9,1
"white",9,0
"white",1,0
"black",3,0
"black",8,0
"black",10,1
"black",8,0
"white",5,1
"black",8,1
"black",7,1
"black",4,1
"black",9,1
"black",6,0
"white",4,0
"black",9,0
"black",3,1
"white",5,0
"black",8,1
"black",10,0
"black",6,1
"black",8,1
"white",7,1
"black",9,0
"black",4,0
"white",1,0
"black",2,0
"black",2,1
"black",8,1
"white",2,1
"black",6,1
"white",1,1
"white",2,0
"black",7,1
"white",1,0
"white",5,0
"black",6,1
"black",9,0
"white",1,0
"black",5,1
"white",5,1
"black",8,1
"white",4,1
"white",1,0
"black",7,1
"black",9,1
"black",3,1
"black",9,1
"white",3,1
"white",6,0
"white",1,0
"black",2,0
"black",4,1
"black",5,0
"white",2,1
"black",4,1
"black",9,1
"white",1,0
"black",2,0
"black",7,0
"black",10,1
"white",1,1
"black",1,0
"white",10,1
"white",3,0
"white",2,0
"black",1,1
"white",2,0
"white",4,0
"white",3,0
"black",2,1
"black",9,0
"white",2,0
"black",9,0
"white",1,1
"white",7,0
"white",7,1
"black",10,1
"white",1,0
"white",1,0
"white",5,0
"black",2,1
"white",2,0
"white",9,0
"white",5,0
"white",10,0
"black",5,0
"black",3,1
"black",4,0
"black",3,0
"white",1,0
"black",9,1
"black",9,1
"black",4,1
"black",4,0
"white",1,0
"black",3,0
"white",2,1
"black",2,0
"black",7,1
"white",1,0
"white",1,0
"black",1,1
"black",2,0
"black",8,1
"black",8,0
"black",1,0
"white",9,1
"black",7,0
"black",7,1
"black",3,1
"white",8,1
"black",4,1
"black",4,0
"black",9,0
"black",1,0
"black",3,0
"black",3,0
"white",7,1
"black",8,0
"black",10,1
"white",1,0
"black",2,1
"black",9,1
"white",6,0
"black",10,0
"black",5,0
"black",7,1
"white",1,0
"black",1,0
"black",8,1
"black",7,0
"white",1,1
"black",4,0
"black",3,1
"black",6,1
"white",5,0
"white",4,0
"white",5,1
"white",6,1
"black",2,0
"white",1,0
"black",4,0
"white",2,0
"black",5,1
"black",1,1
"black",8,1
"black",2,0
"black",10,0
"black",4,0
"white",5,0
"white",1,0
"black",6,1
"black",5,0
"black",5,1
"black",4,0
"black",2,0
"white",2,1
"white",5,0
"white",8,1
"white",3,0
"black",4,1
"black",10,1
"black",9,0
"black",8,0
"white",1,0
"white",7,1
"black",3,1
"white",9,0
"black",10,1
"black",7,1
"black",1,1
"black",10,0
"black",2,1
"black",3,0
"black",10,1
"white",1,0
"black",9,1
"black",1,0
"white",7,1
"black",3,0
"black",6,0
"black",9,1
"white",2,1
"black",6,0
"white",2,0
"black",8,1
"white",6,0
"white",5,0
"white",1,1
"white",9,0
"white",1,1
"black",10,1
"white",4,1
"black",6,1
"black",1,1
"black",10,1
"white",4,0
"black",10,1
"white",6,0
"white",1,0
"black",8,0
"black",9,1
"white",8,0
"white",2,1
"black",6,0
"white",1,0
"black",8,0
"black",2,0
"white",2,0
"white",6,1
"black",4,0
"black",5,1
"white",1,0
"white",3,0
"white",8,1
"black",8,0
"black",3,1
"black",3,0
"white",2,0
"black",10,1
"white",2,0
"white",10,1
"black",6,1
"black",1,0
"black",2,0
"white",1,0
"white",4,0
"black",3,0
"black",6,0
"black",4,1
"white",10,0
"white",3,1
"black",3,1
"white",2,1
"black",9,1
"black",2,0
"white",4,1
"black",1,0
"black",2,0
"black",8,1
"white",1,0
"white",1,0
"white",8,0
"black",5,1
"white",5,0
"black",1,1
"black",10,0
"white",2,1
"black",5,1
"black",5,0
"black",7,0
"black",4,0
"black",9,1
"black",7,0
"black",3,0
"white",1,0
"white",4,0
"black",1,0
"black",7,1
"black",2,1
"white",2,1
"white",3,0
"black",9,0
"white",1,0
"white",9,1
"white",2,0
"white",3,0
"black",10,0
"black",7,0
"white",1,0
"white",5,1
"black",2,1
"white",1,1
"white",6,0
"white",4,1
"black",8,0
"black",2,0
"black",7,1
"black",9,0
"white",3,1
"black",7,1
"black",8,0
"white",4,0
"black",10,1
"white",5,0
"black",7,1
"black",8,1
"white",7,1
"white",2,0
"white",9,0
"black",6,0
"black",3,1
"white",1,1
"black",8,1
"black",10,1
"black",8,0
"black",3,1
"black",1,0
"white",6,0
"white",4,0
"white",5,0
"black",5,0
"black",10,0
"white",1,0
"black",8,0
"white",1,0
"black",5,0
"black",2,1
"black",3,0
"white",4,1
"black",8,0
"black",6,1
"white",1,1
"black",5,1
"black",2,0
"black",8,1
"black",6,0
"black",6,1
"white",2,0
"white",3,1
"black",3,0
"black",6,1
"white",3,1
"black",4,1
"black",6,0
"white",1,0
"black",2,0
"black",2,1
"white",5,1
"black",3,0
"black",2,1
"white",4,0
"black",10,0
"white",8,1
"black",9,1
"black",9,1
"white",4,1
"black",9,0
"black",8,1
"white",1,0
"black",3,0
"black",7,1
"black",7,0
"white",1,1
"black",8,1
"black",8,0
"white",2,0
"black",10,0
"black",2,1
"black",4,0
"black",8,1
"black",10,1
"black",9,1
"black",8,1
"white",5,1
"black",8,1
"white",4,0
"white",4,0
"black",4,0
"black",4,1
"black",2,1
"black",9,1
"black",8,0
"white",4,1
"white",6,1
"black",8,1
"black",6,1
"black",2,0
"black",4,0
"black",2,0
"black",7,1
"black",9,1
"white",7,1
"black",3,0
"black",8,1
"white",3,0
"white",1,0
"white",5,1
"white",5,1
"black",3,1
"black",6,1
"white",4,1
"white",1,0
"white",2,0
"black",8,1
"black",2,1
"black",8,1
"black",2,1
"white",2,0
"black",9,1
"white",1,0
"black",8,1
"white",2,1
"white",5,1
"black",9,1
"black",7,0
"black",4,0
"white",4,1
"black",4,1
"black",4,1
"black",1,0
"white",5,0
"white",9,0
"black",7,1
"white",9,1
"white",10,0
"black",7,0
"black",2,0
"black",5,1
"white",2,0
"black",4,0
"white",3,0
"white",4,0
"black",7,1
"black",4,0
"black",1,0
"black",10,1
"black",5,1
"black",4,1
"white",6,1
"black",5,1
"white",2,1
"white",4,0
"black",6,1
"white",7,0
"black",10,1
"black",2,0
"black",2,0
"black",1,1
"black",10,1
"black",7,0
"white",2,0
"black",4,0
"white",1,0
"white",6,1
"black",5,0
"black",4,0
"black",9,1
"black",3,0
"white",4,1
"black",5,1
"white",5,1
"black",10,1
"white",1,0
"black",3,0
"black",7,1
"black",4,1
"white",7,1
"black",7,1
"black",9,1
"black",9,1
"black",1,0
"black",2,0
"black",8,1
"black",3,1
"black",4,0
"white",4,0
"black",1,0
"black",5,1
"black",7,0
"black",1,1
"white",9,1
"black",1,1
"white",7,1
"black",1,1
"black",6,1
"black",3,0
"white",6,0
"black",4,1
"white",3,1
"black",8,1
"black",1,0
"white",2,0
"black",10,1
"black",8,1
"black",10,1
"black",10,1
"black",1,0
"black",7,0
"black",9,0
"white",3,0
"white",9,0
"white",8,0
"black",10,1
"white",1,0
"black",7,0
"black",3,1
"black",2,0
"black",2,0
"black",5,0
"black",8,1
"white",1,0
"white",1,0
"black",4,0
"black",4,0
"black",8,0
"white",2,0
"black",7,1
"white",4,0
"black",4,1
"black",6,1
"black",1,0
"black",3,1
"white",4,0
"black",4,1
"black",7,1
"black",8,0
"white",9,0
"white",8,1
"black",6,1
"white",3,0
"white",2,0
"black",1,1
"black",1,1
"white",3,0
"white",5,1
"black",3,1
"black",5,1
"black",8,1
"black",7,1
"black",10,0
"black",8,0
"white",7,1
"black",10,0
"black",9,1
"white",1,0
"white",1,0
"black",6,1
"black",9,0
"black",4,0
"white",3,0
"white",7,1
"black",1,0
"white",3,0
"black",3,0
"white",1,1
"white",1,0
"black",10,1
"black",8,1
"white",3,0
"black",4,0
"white",4,1
"white",1,0
"black",9,1
"black",10,0
"white",1,0
"white",8,1
"white",5,1
"white",9,1
"white",4,1
"black",5,1
"white",1,0
"black",7,0
"black",4,0
"black",4,1
"black",8,1
"white",4,0
"black",6,1
"black",4,0
"white",4,0
"white",5,1
"white",1,1
"black",2,0
"black",3,1
"white",7,1
"white",1,0
"black",1,0
"white",1,1
"white",4,1
"white",1,1
"black",1,1
"black",1,0
"white",3,0
"black",3,0
"black",7,0
"white",2,0
"black",2,1
"white",6,1
"white",1,1
"white",5,0
"white",1,0
"black",7,0
"black",6,0
"black",1,1
"white",10,1
"white",10,1
"white",5,0
"black",2,1
"black",9,1
"black",3,1
"white",2,0
"black",2,0
"white",5,0
"white",1,0
"white",9,1
"black",1,1
"black",1,0
"black",2,0
"white",6,1
"black",2,0
"black",6,0
"black",8,0
"black",8,1
"black",1,0
"black",9,1
"white",1,0
"black",1,1
"white",8,1
"black",8,0
"black",9,1
"white",4,0
"black",4,0
"white",2,0
"black",7,1
"black",8,0
"white",1,0
"black",7,0
"black",10,1
"black",10,1
"black",5,0
"black",5,0
"black",6,1
"white",4,1
"black",4,0
"white",1,0
"black",2,0
"black",4,1
"white",1,0
"black",9,1
"white",10,0
"black",3,0
"white",4,1
"black",10,1
"black",5,1
"white",2,1
"white",1,1
"black",8,1
"black",5,1
"white",2,0
"black",10,1
"black",6,1
"black",4,0
"black",9,1
"black",9,0
"white",3,1
"black",10,1
"black",6,0
"black",10,1
"white",2,0
"white",3,0
"white",1,0
"black",9,1
"white",4,1
"white",2,0
"black",9,1
"black",3,1
"black",1,0
"black",9,1
"black",2,0
"black",4,1
"black",10,1
"white",2,1
"black",2,0
"black",5,0
"black",2,0
"white",2,0
"black",9,0
"white",2,0
"white",2,0
"black",8,1
"black",3,0
"black",8,1
"white",4,0
"white",9,0
"black",3,0
"black",5,0
"white",4,0
"black",5,1
"black",4,1
"black",1,0
"white",5,1
"black",4,0
"white",6,0
"black",1,0
"white",1,0
"black",1,0
"white",1,0
"black",4,0
"white",6,1
"white",6,0
"black",1,0
"white",9,1
"white",6,1
"black",9,0
"black",8,1
"black",8,1
"black",2,0
"white",3,1
"black",4,0
"white",8,1
"white",1,0
"black",10,1
"black",6,0
"black",9,1
"white",3,0
"black",8,0
"black",8,1
"black",4,1
"white",3,0
"black",1,0
"white",6,1
"black",4,1
"black",2,0
"black",10,0
"black",5,0
"white",7,0
"black",7,1
"black",7,1
"black",10,1
"black",9,0
"black",7,1
"black",7,0
"black",1,0
"black",8,1
"white",3,0
"black",7,1
"white",5,1
"white",4,1
"white",10,1
"white",6,0
"white",6,0
"black",5,1
"white",1,0
"white",5,1
"black",5,0
"black",1,0
"white",3,0
"black",6,1
"black",5,0
"white",2,1
"black",8,1
"white",1,0
"white",1,0
"black",9,1
"white",4,0
"white",6,1
"black",8,1
"white",1,0
"white",4,1
"black",2,0
"white",1,0
"white",1,0
"white",1,1
"black",6,1
"black",1,1
"white",3,0
"black",4,0
"white",5,0
"black",2,1
"black",5,0
"white",3,0
"black",9,1
"black",6,1
"white",5,0
"white",5,0
"black",2,0
"white",3,0
"white",4,0
"black",7,0
"black",8,1
"white",8,1
"white",6,1
"black",6,1
"white",3,1
"white",7,0
"white",4,1
"black",9,1
"black",5,1
"black",8,1
"black",3,0
"white",1,0
"white",8,1
"white",4,0
"white",3,0
"white",1,1
"black",7,1
"white",1,0
"white",5,1
"black",3,0
"white",3,1
"black",4,0
"white",9,1
"black",1,0
"black",1,1
"black",7,0
"black",4,0
"black",6,1
"white",4,0
"black",3,1
"white",1,1
"black",5,0
"black",2,0
"white",7,1
"black",10,1
"white",6,1
"white",6,1
"black",3,0
"black",1,1
"white",1,0
"black",3,0
"black",2,1
"black",7,1
"white",2,0
"black",2,0
"white",1,0
"black",3,0
"black",6,1
"black",6,1
"white",4,0
"black",4,1
"white",1,0
"black",6,0
"black",2,0
"black",8,0
"white",1,0
"white",3,0
"white",1,1
"black",9,0
"black",5,0
"black",1,0
"white",7,1
"black",4,0
"white",1,0
"white",3,0
"black",6,1
"white",5,1
"black",1,0
"white",1,0
"white",4,1
"black",3,1
"white",3,0
"black",3,0
"white",3,1
"black",8,1
"white",2,1
"black",7,1
"black",7,0
"black",5,1
"black",7,1
"black",4,0
"black",1,1
"white",8,1
"black",7,1
"white",5,1
"black",5,0
"white",7,1
"white",5,0
"black",2,0
"black",9,1
"white",1,0
"black",4,1
"black",8,1
"white",4,0
"black",2,0
"white",1,0
"white",1,0
"white",4,1
"black",4,1
"white",2,0
"white",1,1
"white",6,0
"black",10,1
"black",5,0
"black",6,0
"white",3,1
"white",6,1
"black",1,0
"black",4,1
"black",3,0
"black",9,1
"black",7,0
"white",2,0
"white",7,1
"black",1,1
"black",5,1
"white",6,0
"white",2,0
"black",8,1
"black",4,1
"black",9,0
"black",2,0
"black",5,0
"black",2,1
"white",7,1
"white",3,1
"white",1,0
"black",7,1
"black",1,1
"black",2,1
"white",1,0
"black",5,1
"white",4,0
"white",2,0
"white",2,0
"black",1,0
"white",5,0
"black",8,1
"black",8,1
"white",3,1
"black",6,0
"black",9,0
"white",2,1
"black",3,0
"white",9,1
"black",9,1
"black",4,1
"black",7,1
"white",3,1
"white",2,0
"black",3,1
"black",1,0
"white",1,0
"white",2,1
"white",8,1
"white",7,0
"white",8,1
"black",2,1
"black",3,1
"black",4,1
"black",2,1
"black",3,1
"white",1,0
"white",7,1
"white",1,0
"white",1,0
"black",9,0
"white",6,0
"black",7,1
"white",1,0
"white",3,1
"black",3,0
"white",8,1
"black",10,1
"white",4,1
"white",3,1
"white",1,0
"white",2,0
"white",1,1
"black",6,0
"white",1,0
"white",1,1
"black",10,1
"black",8,0
"white",1,1
"black",4,1
"black",2,0
"white",1,0
"white",6,1
"white",3,0
"white",1,0
"black",3,0
"white",2,0
"black",8,1
"white",6,0
"black",8,1
"white",6,0
"black",5,1
"black",10,1
"black",2,0
"white",7,0
"black",6,0
"black",2,0
"white",1,0
"white",7,0
"white",2,0
"white",8,1
"white",2,1
"white",4,1
"white",3,1
"black",2,0
"black",9,1
"black",3,1
"black",4,0
"black",8,0
"white",7,1
"black",9,1
"white",1,0
"white",4,1
"white",3,0
"black",8,1
"white",3,0
"black",3,0
"white",5,0
"black",8,0
"black",7,0
"black",3,1
"white",8,1
"white",2,0
"white",2,0
"black",6,0
"white",5,0
"black",7,1
"black",1,1
"black",3,0
"white",5,0
"black",8,1
"white",4,0
"white",2,0
"black",7,0
"black",2,1
"white",5,0
"black",5,1
"black",3,1
"black",2,0
"black",4,0
"white",4,0
"black",5,1
"white",10,1
"black",10,1
"black",9,1
"white",9,1
"black",5,1
"black",10,1
"white",1,1
"white",2,0
"black",7,1
"black",2,0
"black",6,0
"white",8,0
"black",5,1
"white",3,0
"white",3,0
"black",1,0
"black",1,1
"black",6,1
"white",5,0
"black",6,1
"black",8,1
"white",5,0
"black",10,0
"white",3,0
"black",1,0
"black",1,0
"black",1,0
"black",1,0
"white",1,0
"black",4,0
"black",4,1
"white",1,0
"black",10,0
"black",10,0
"black",4,1
"black",6,0
"black",7,0
"black",6,1
"black",2,0
"black",5,1
"white",2,0
"black",2,0
"black",5,0
"black",3,0
"white",1,0
"black",10,0
"black",8,1
"black",4,0
"white",3,0
"black",6,0
"black",1,0
"white",2,1
"white",5,1
"black",6,1
"white",9,1
"black",9,1
"black",1,0
"white",7,1
"black",1,0
"black",4,0
"black",9,0
"white",4,0
"white",6,1
"black",3,1
"black",5,0
"white",6,0
"black",9,1
"white",2,0
"black",5,0
"white",2,0
"black",5,0
"white",5,1
"black",8,1
"white",4,0
"white",9,1
"white",1,0
"black",3,0
"black",1,1
"black",8,1
"black",6,0
"black",10,1
"black",1,0
"white",2,0
"black",4,1
"black",8,0
"white",2,0
"white",1,1
"black",7,1
"white",1,0
"white",5,1
"black",5,0
"black",7,0
"black",1,0
"black",1,0
"white",2,0
"white",1,0
"white",9,0
"black",7,1
"white",1,0
"white",3,1
"black",9,1
"black",4,0
"black",7,1
"white",1,0
"white",8,1
"black",10,0
"black",3,0
"white",1,1
"black",3,0
"white",3,0
"black",2,0
"black",7,0
"white",4,0
"black",5,0
"white",3,1
"black",9,1
"white",1,0
"white",6,1
"black",1,0
"black",1,0
"black",5,1
"white",7,0
"black",5,0
"black",5,0
"black",4,1
"black",3,0
"black",9,1
"black",3,0
"black",5,1
"white",6,1
"black",3,1
"white",6,1
"black",9,1
"black",10,1
"black",6,0
"white",6,1
"white",1,1
"white",8,1
"black",2,0
"white",5,0
"black",4,1
"black",2,0
"black",9,1
"black",5,0
"black",5,1
"black",5,1
"white",7,0
"black",3,0
"black",10,1
"black",2,0
"black",1,0
"white",3,1
"black",6,1
"white",3,0
"black",7,0
"black",9,1
"black",7,1
"black",10,1
"white",5,0
"black",9,1
"black",6,1
"black",10,1
"black",6,1
"black",1,0
"white",7,1
"black",7,1
"white",6,0
"black",7,0
"black",6,1
"black",2,0
"white",1,1
"black",8,1
"white",7,1
"black",1,0
"black",8,1
"black",1,1
"black",6,1
"black",2,0
"white",1,0
"white",1,0
"white",2,0
"white",3,0
"black",4,1
"white",1,0
"black",3,0
"white",1,0
"black",2,1
"black",4,0
"black",8,0
"black",9,1
"black",9,0
"black",2,0
"black",2,0
"white",10,1
"black",1,0
"white",5,0
"white",7,1
"black",9,1
"black",5,0
"black",5,1
"white",5,0
"white",1,1
"black",4,0
"white",6,1
"black",5,1
"black",5,0
"black",2,1
"black",10,1
"black",6,1
"black",8,1
"black",8,0
"white",1,0
"black",7,0
"black",1,0
"black",7,1
"white",9,1
"black",5,1
"black",1,0
"white",5,1
"black",8,1
"black",4,0
"black",2,1
"white",2,0
"white",1,0
"black",2,0
"black",1,0
"white",1,0
"black",2,1
"black",5,1
"white",1,1
"white",2,0
"white",2,0
"black",8,1
"white",3,0
"white",4,0
"black",1,0
"black",7,1
"black",10,1
"white",2,0
"black",3,1
"black",3,0
"black",6,1
"white",2,0
"black",4,1
"white",4,0
"black",5,0
"black",5,0
"white",6,1
"black",4,1
"white",3,0
"white",1,1
"black",2,0
"black",6,1
"black",9,1
"black",7,0
"white",3,1
"white",1,0
"white",4,1
"white",1,0
"white",9,1
"black",5,1
"black",1,1
"black",5,1
"white",4,0
"white",4,1
"black",6,0
"black",4,0
"black",6,0
"white",1,1
"black",4,0
"white",7,1
"white",3,0
"black",9,1
"white",4,0
"black",8,1
"white",3,0
"black",2,1
"white",2,0
"white",1,0
"white",1,0
"black",7,0
"white",3,0
"black",9,1
"white",5,1
"black",9,1
"black",4,0
"black",5,1
"black",1,0
"white",1,0
"black",1,0
"black",7,0
"black",1,0
"black",1,1
"black",9,1
"black",1,0
"white",4,1
"black",9,1
"black",3,1
"black",8,0
"black",5,0
"white",9,1
"black",1,0
"black",2,0
"white",2,0
"white",2,1
"black",2,0
"white",5,1
"black",5,1
"white",4,0
"black",7,1
"white",3,0
"white",1,0
"black",4,1
"black",1,0
"black",10,1
"white",3,0
"black",1,0
"black",7,1
"white",5,1
"black",8,1
"black",4,0
"black",8,1
"white",6,0
"black",7,1
"black",1,0
"black",7,1
"black",4,1
"black",7,0
"white",2,1
"white",2,0
"black",1,0
"black",4,0
"black",8,0
"black",4,0
"black",2,1
"black",10,0
"white",5,1
"white",6,1
"black",10,1
"black",9,1
"black",6,1
"black",5,0
"white",2,1
"white",8,1
"white",4,0
"white",1,0
"black",10,1
"white",9,0
"white",2,0
"white",3,0
"black",4,0
"black",7,0
"white",5,0
"black",8,1
"white",7,0
"black",5,0
"black",1,0
"black",2,0
"white",5,0
"white",8,0
"black",10,1
"black",2,0
"white",2,0
"black",5,0
"white",6,0
"black",7,1
"black",1,0
"white",5,0
"black",6,0
"white",2,0
"white",9,1
"black",4,0
"black",4,1
"black",8,1
"black",5,1
"black",4,0
"black",10,1
"black",9,1
"white",10,0
"white",2,1
"black",4,1
"white",1,1
"white",1,1
"black",9,1
"black",7,0
"white",3,1
"white",2,0
"black",8,1
"white",2,0
"black",7,0
"white",2,0
"black",9,1
"white",3,0
"black",7,0
"black",1,0
"white",2,0
"black",9,1
"black",3,0
"black",1,0
"white",3,0
"white",4,1
"black",2,1
"white",5,0
"black",3,0
"white",8,0
"white",1,0
"black",2,1
"white",2,1
"black",3,1
"black",9,1
"black",6,0
"black",9,1
"black",9,1
"white",4,0
"black",9,0
"black",2,0
"white",4,1
"black",3,0
"black",8,1
"black",4,1
"white",2,0
"black",2,0
"white",9,1
"white",10,1
"white",3,1
"white",1,1
"white",5,1
"black",3,1
"black",6,1
"black",7,0
"white",9,1
"white",8,1
"white",2,1
"black",2,0
"white",2,0
"white",4,1
"black",4,0
"black",3,0
"black",10,1
"black",5,0
"white",10,0
"black",2,0
"white",8,0
"black",2,0
"white",6,1
"black",9,1
"white",2,0
"white",8,0
"black",8,1
"black",6,0
"white",4,1
"black",4,1
"black",5,0
"black",5,0
"black",1,0
"white",2,0
"black",4,1
"black",7,0
"black",4,0
"black",7,1
"black",9,1
"black",6,0
"black",7,1
"black",6,0
"black",3,1
"black",6,0
"black",1,0
"black",3,0
"black",9,1
"white",3,1
"black",5,1
"white",3,0
"black",2,0
"white",7,1
"black",3,0
"white",5,1
"black",6,1
"white",4,0
"white",1,0
"black",2,1
"black",3,1
"white",1,0
"black",7,1
"black",5,1
"black",5,0
"white",1,1
"white",6,0
"black",5,0
"black",9,1
"black",9,1
"black",1,0
"black",8,1
"white",2,0
"white",4,0
"black",6,1
"black",5,1
"black",9,1
"white",4,0
"white",2,0
"black",9,1
"white",1,1
"black",1,0
"white",3,1
"black",6,0
"black",3,1
"black",5,1
"black",4,1
"black",4,0
"black",2,1
"white",6,0
"black",8,0
"white",9,1
"black",3,0
"black",8,1
"black",5,1
"black",3,1
"black",5,0
"black",2,0
"white",2,0
"white",2,1
"black",3,1
"white",5,0
"white",7,0
"black",1,1
"black",4,0
"black",1,1
"white",3,1
"black",9,1
"white",2,0
"black",7,0
"white",3,1
"black",10,1
"white",1,1
"white",9,0
"black",5,1
"black",9,1
"black",3,0
"black",5,0
"white",7,1
"black",2,1
"black",1,0
"white",2,0
"black",4,0
"white",1,0
"white",5,0
"black",6,0
"black",8,0
"white",5,1
"black",2,1
"black",4,1
"white",9,1
"white",1,0
"black",6,0
"black",10,1
"white",9,1
"white",2,1
"black",9,1
"black",8,1
"white",7,0
"white",1,0
"white",5,0
"black",10,1
"white",1,0
"black",3,0
"black",10,0
"black",7,1
"black",2,0
"black",9,1
"white",5,0
"white",6,1
"black",10,1
"black",5,1
"black",5,1
"white",5,0
"white",4,0
"white",3,1
"black",7,1
"black",3,1
"black",8,0
"white",1,0
"black",5,0
"white",4,1
"black",2,1
"white",1,1
"black",7,0
"white",1,0
"white",3,1
"black",4,1
"white",4,0
"black",10,1
